epoch,loss,masked_accuracy,val_loss,val_masked_accuracy
0,4.140293598175049,0.32425379753112793,2.7341511249542236,0.4330700933933258
1,2.5640909671783447,0.4571365416049957,2.596730947494507,0.44963470101356506
2,2.892390489578247,0.4029868245124817,3.3565738201141357,0.333344429731369
3,2.908348560333252,0.3964470624923706,3.2152788639068604,0.35063543915748596
4,2.766855001449585,0.4177045524120331,2.8660943508148193,0.4107952415943146
5,3.0599889755249023,0.3778130114078522,2.9090030193328857,0.4138229191303253
6,2.8951351642608643,0.3966176211833954,2.784339189529419,0.424442321062088
7,3.557912588119507,0.3201577365398407,2.731027126312256,0.4303668439388275
8,2.425567865371704,0.463092565536499,2.628465175628662,0.44292840361595154
9,2.2731380462646484,0.48624399304389954,2.400587558746338,0.4913191795349121
